% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
56	56.25	1	1	1	1	1	1056	1	1056	0.005	0	0.005	0.005	1056	0	1056	1056	
57	57.25	1	1	1	1	1	1056	1	1056	0.005	0	0.005	0.005	1056	0	1056	1056	
58	58.25	1	1	1	1	1	1056	1	1056	0.005	0	0.005	0.005	1056	0	1056	1056	
59	59.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
60	60.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
61	61.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
62	62.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
63	63.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
64	64.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
65	65.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
66	66.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
67	67.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
68	68.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
69	69.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
70	70.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
71	71.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
72	72.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
73	73.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
74	74.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
75	75.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
76	76.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
77	77.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	528.916	155	903	
78	78.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
79	79.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
80	80.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
81	81.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
82	82.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
83	83.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
84	84.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
85	85.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
86	86.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
87	87.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
88	88.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
89	89.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
90	90.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
91	91.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
92	92.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
93	93.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
94	94.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
95	95.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
96	96.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
97	97.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
98	98.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
99	99.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
100	100.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
101	101.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
102	102.25	1	1	1	1	2	1058	2	1058	0.005	0	0.005	0.005	529	62.2254	485	573	
103	103.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
104	104.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
105	105.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
106	106.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
107	107.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
108	108.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
109	109.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
110	110.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
111	111.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
112	112.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
113	113.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
114	114.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
115	115.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
116	116.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
117	117.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
118	118.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
119	119.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
120	120.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
121	121.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
122	122.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
123	123.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
124	124.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
125	125.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
126	126.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
127	127.25	1	1	1	1	4	1062	4	1062	0.005	0	0.005	0.005	265.5	167	15	349	
138.25	138.5	1	1	1	1	7	2443	7	2443	0.005	0	0.005	0.005	349	0	349	349	
139.25	139.5	1	1	1	1	5	1745	5	1745	0.005	0	0.005	0.005	349	0	349	349	
140.25	140.5	1	1	1	1	4	1396	4	1396	0.005	0	0.005	0.005	349	0	349	349	
141.25	141.5	1	1	1	1	4	1396	4	1396	0.005	0	0.005	0.005	349	0	349	349	
142.25	142.5	1	1	1	1	4	1396	4	1396	0.005	0	0.005	0.005	349	0	349	349	
143.25	143.5	1	1	1	1	4	1396	4	1396	0.005	0	0.005	0.005	349	0	349	349	
144.25	144.5	1	1	1	1	4	1396	4	1396	0.005	0	0.005	0.005	349	0	349	349	
145.25	145.5	1	1	1	1	4	1396	4	1396	0.005	0	0.005	0.005	349	0	349	349	
146.25	146.5	1	1	1	1	4	1396	4	1396	0.005	0	0.005	0.005	349	0	349	349	
147.25	147.5	1	1	1	1	4	1396	4	1396	0.005	0	0.005	0.005	349	0	349	349	
148.25	148.5	1	1	1	1	4	1396	4	1396	0.005	0	0.005	0.005	349	0	349	349	
149.25	149.5	1	1	1	1	19	6612	19	6612	0.005	0	0.005	0.005	348	4.3589	330	349	
